object_id,sha256,source_dataset,asset_path,render_path,caption,split,selection_seed,selection_notes
0038d24dbb30f9f3ef81a639245b7f36e7f89a78f034878e26f7199612e92b10,0038d24dbb30f9f3ef81a639245b7f36e7f89a78f034878e26f7199612e92b10,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/0038d24dbb30f9f3ef81a639245b7f36e7f89a78f034878e26f7199612e92b10.glb,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/0038d24dbb30f9f3ef81a639245b7f36e7f89a78f034878e26f7199612e92b10.zip,"A 3D rendered image. Side 3/4 view, slight low angle. Compact hatchback, rounded monobox shape. Sky-blue metallic paint, glossy finish. Large glass area, minimal overhangs. Dark grey, five-spoke alloy wheels. Circular headlights, integrated fog lamps. Black plastic side moldings, door handles. Rear lights are vertically stacked. Chrome side mirrors. Clean surfaces, minimal detailing. Studio lighting emphasizes form; subtle reflections. Door handles are recessed. Compact proportions, reminiscent of a Fiat 500.",train,20260603,
0044b9fb8a600238748d51dd8be57ebaa7a34270cdc96b8354439bf383a01b52,0044b9fb8a600238748d51dd8be57ebaa7a34270cdc96b8354439bf383a01b52,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/0044b9fb8a600238748d51dd8be57ebaa7a34270cdc96b8354439bf383a01b52.obj,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/0044b9fb8a600238748d51dd8be57ebaa7a34270cdc96b8354439bf383a01b52.zip,"A 3D rendered image. Gray, monolithic vehicle chassis. High-angle 3-4 view. Boxy, utilitarian form; prominent flat surfaces & sharp edges. Open-top cargo bed integrates with a vertically-oriented cabin. Minimal detailing, stepped lower edges. Matte finish, uniform reflectivity. No visible wheels or lighting. Focus on geometric precision, blocky construction, and overall form language; resembles industrial equipment. Isolated white background.",train,20260603,
0045292de2114f0c83a9e5413eb043d4,0045292de2114f0c83a9e5413eb043d4,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/0045292de2114f0c83a9e5413eb043d4.glb,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/0045292de2114f0c83a9e5413eb043d4.zip,"A 3D rendered image. Ferrari 488 Pista, side 3/4 view, low angle. Rosso Corsa paint, glossy finish. Aggressive, sculpted body; prominent side intakes. Dark grey multi-spoke wheels w/ red calipers. Rear diffuser, quad exhaust. Carbon fiber accents on splitter & spoiler. Sweeping roofline, short deck. LED taillights, narrow. Studio lighting highlights curves & panel gaps. Distinctive rear haunch. Realistic reflections. Focus on aerodynamic elements.",train,20260603,
004c8509eb1e4aad8093eba9b4707e79,004c8509eb1e4aad8093eba9b4707e79,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/004c8509eb1e4aad8093eba9b4707e79.glb,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/004c8509eb1e4aad8093eba9b4707e79.zip,"A 3D rendered image. Armored personnel carrier, rear 3-4 view, low angle. Heavily weathered olive-drab finish, matte texture. Angled rear hull w/ exhaust vents & 6 road wheels. Prominent rear access hatch, detailed panel lines, & red marker lights. Visible weld seams, subtle surface imperfections. Lighting is diffuse, highlighting form. Minimal chrome; focus on realistic wear/tear. Vehicle sits on dark surface. 6x6 wheel configuration.",train,20260603,
0062d77c3da0fa506108f9e32b8e8d4cb4a638ce88b5c2f42a9d810085c3eee4,0062d77c3da0fa506108f9e32b8e8d4cb4a638ce88b5c2f42a9d810085c3eee4,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/0062d77c3da0fa506108f9e32b8e8d4cb4a638ce88b5c2f42a9d810085c3eee4.gltf,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/0062d77c3da0fa506108f9e32b8e8d4cb4a638ce88b5c2f42a9d810085c3eee4.zip,"A 3D rendered image. Low-angle 3-4 view of a mustard-yellow roadster. Rounded, simplified body shape; bulbous fenders & smooth surfacing. Small, elliptical headlights & a low, wide grille. Black, stylized wheels w/ prominent arches. Minimal detail; matte finish overall. Dark interior visible. Studio lighting: soft, even illumination, highlighting form. Overall aesthetic: cartoonish/toy-like, emphasizing curvature & simplicity. No sharp edges or chrome.",val,20260603,
00752d51dc8f07ebe040b12a971ec5ace74622d13c7ad23166e957b387db6bc6,00752d51dc8f07ebe040b12a971ec5ace74622d13c7ad23166e957b387db6bc6,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/00752d51dc8f07ebe040b12a971ec5ace74622d13c7ad23166e957b387db6bc6.gltf,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/00752d51dc8f07ebe040b12a971ec5ace74622d13c7ad23166e957b387db6bc6.zip,"A 3D rendered image. Isometric low-poly town scene. Buildings: blue fast food, red-roof pizza, beige restaurant. Vehicles: white police car, brown van. Stylized trees. Simple geometric forms, matte finishes. Soft, even studio lighting. Neutral gray road & sidewalks. Blocky architecture, minimal detail. Clean edges, flat shading. Text signage “New Fast Food”, “PIZZA”, “Restaurant”. Low camera angle, showcasing building height.",train,20260603,
007b710294c9e39ac1a9c1ce521a3fcd0e10f4dbb90f0e78295758dfcd9b6df9,007b710294c9e39ac1a9c1ce521a3fcd0e10f4dbb90f0e78295758dfcd9b6df9,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/007b710294c9e39ac1a9c1ce521a3fcd0e10f4dbb90f0e78295758dfcd9b6df9.glb,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/007b710294c9e39ac1a9c1ce521a3fcd0e10f4dbb90f0e78295758dfcd9b6df9.zip,"A 3D rendered image. High-angle, isometric view of a stylized, low-poly townscape. Pastel blue & grey buildings with simple gable roofs. Minimalist trees, blocky forms. A pale grey train car on tracks. Floating grey cloud-like vehicle above. Crescent moon & scattered golden star-like points in a dark background. Matte surfaces, soft lighting, shallow depth of field. Platform base is pale beige. Focus on geometric simplicity & muted color palette.",train,20260603,
009fe33de4bd4604c0df585bebabfae9b7a9fab3065cbaebe9494fa68c7a9414,009fe33de4bd4604c0df585bebabfae9b7a9fab3065cbaebe9494fa68c7a9414,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/009fe33de4bd4604c0df585bebabfae9b7a9fab3065cbaebe9494fa68c7a9414.fbx,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/009fe33de4bd4604c0df585bebabfae9b7a9fab3065cbaebe9494fa68c7a9414.zip,"A 3D rendered image. Compact, rounded vehicle; 3/4 front view, low angle. Blue main body, glossy finish. Green rounded fenders & interior tub. Red trim encircles interior opening. Yellow, rounded roof section. Small black wheels, simple hub design. Soft, diffused studio lighting highlights smooth surfaces; minimal shadows. Cartoon-like styling, emphasizing organic forms. Matte green interior. Rounded, bulbous proportions; no sharp edges. Subtle surface reflections.",train,20260603,
00cc0d1d3a7e493eae7c21f5ce384a56,00cc0d1d3a7e493eae7c21f5ce384a56,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/00cc0d1d3a7e493eae7c21f5ce384a56.glb,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/00cc0d1d3a7e493eae7c21f5ce384a56.zip,"A 3D rendered image. Low 3/4 front view. Vehicle body constructed from textured cardboard, warm ochre hue. Rounded front fenders & squared rear. Complex, embossed pattern of skulls/botanicals on sides. “WARNING” text repeated in red on rear quarter panel. Small, silver, spoked wheels w/ low profile tires. Flat, matte finish. Minimal glazing, boxy cabin. Roof features rudimentary rails. Studio lighting, diffuse highlights accentuate cardboard texture. Simple, raw aesthetic. No chrome. Focus on surface detail & material representation.",train,20260603,
0144280d4675a1187035e7b506f982cfb1c9c8db9e3c31ebbca1dc863027e4cb,0144280d4675a1187035e7b506f982cfb1c9c8db9e3c31ebbca1dc863027e4cb,CarCaption3K,/home/damian/Projects/datasets/CarCaptionData/car_meshes_trellis_aesthetics_65/0144280d4675a1187035e7b506f982cfb1c9c8db9e3c31ebbca1dc863027e4cb.glb,/home/damian/Projects/datasets/CarCaptionData/CarCaptionData_renders/0144280d4675a1187035e7b506f982cfb1c9c8db9e3c31ebbca1dc863027e4cb.zip,"A 3D rendered image. Isometric low-poly city scene. Buildings: red brick, blue glass facade, grey concrete. Vehicles: varied colors (red, yellow, purple, white) simplified forms. Roads: grey, white lane markings. Trees: conical, dark green. Lighting: soft, diffuse. Base: wood grain texture. Minimal detail, flat shading, pastel palette. Scale emphasizes urban density. Streetlights: white, curved arms. Focus on geometric abstraction and blocky aesthetics.",train,20260603,
